Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Cyclisme sur route,2023-04-02 08:31:40,false,"Le Beausset Cyclisme sur route","117,75","2.817","03:43:09","158","176","5,0","31,7","79,1","1.738","1.733","0,00","0,0","0,0","0","84","126","216","52% G / 48% D","261,0","257","205","732","0,0","0,0","17681","0","0","0","0:00","10,0","0:00","Non","03:43:08.65","1","23,0","38","22","47","03:42:57","03:43:09","109","733"
Cyclisme sur route,2023-03-31 09:31:40,false,"Marseille - PMA 4x5X3030","44,14","1.190","01:47:59","142","173","4,2","24,5","60,2","859","841","0,00","0,0","0,0","0","81","137","211","52% G / 48% D","119,6","195","181","671","0,0","0,0","8077","0","0","0","0:00","13,0","0:00","Non","00:30.00","46","19,0","33","20","44","01:46:56","01:47:59","54","331"
Vélo d'intérieur,2023-03-29 07:42:00,false,"Malakoff - PMA 4x5X3030","30,20","729","01:05:32","143","181","4,4","27,6","5,6","791","793","0,00","0,0","0,0","0","80","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:30.00","46","0,0","--","--","--","00:15:50","01:05:33","-25","204"
Cyclisme sur route,2023-03-27 08:40:04,false,"Marseille - Test PMA","21,92","554","00:59:21","134","177","3,3","22,2","59,1","400","406","0,00","0,0","0,0","0","75","113","214","52% G / 48% D","67,6","178","174","649","0,0","0,0","3596","0","0","0","0:00","10,0","0:00","Non","00:03.00","4","19,0","33","21","48","00:56:11","00:59:21","53","286"
Cyclisme sur route,2023-03-25 07:48:44,false,"Marseille Cyclisme sur route","103,67","2.640","03:55:00","144","173","5,0","26,5","67,2","1.787","1.801","0,00","0,0","0,0","0","80","122","204","51% G / 49% D","244,3","229","193","594","0,0","0,0","16695","0","0","0","0:00","10,0","0:00","Non","03:55:00.06","1","22,0","33","16","47","03:54:44","03:59:18","16","453"
Cyclisme sur route,2023-03-24 07:46:55,false,"Marseille - Seuil 3x10","52,76","1.420","02:06:49","148","180","5,0","25,0","56,9","1.016","1.022","0,00","0,0","0,0","0","81","144","213","52% G / 48% D","144,2","211","196","734","0,0","0,0","8896","0","0","0","0:00","13,0","0:00","Non","06:00.92","8","20,0","35","13","51","02:02:36","02:06:49","55","333"
Vélo d'intérieur,2023-03-22 07:51:00,false,"Malakoff - Seuil 3x10 HT","33,00","769","01:08:00","149","177","5,0","29,1","3,6","3","2","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","05:00.00","8","0,0","--","--","--","00:08:30","01:08:00","66","70"
Cyclisme sur route,2023-03-20 07:42:24,false,"Marseille - FSM 8X3min","58,98","1.546","02:23:14","138","169","4,9","24,7","55,9","1.114","1.099","0,00","0,0","0,0","0","79","132","191","52% G / 48% D","130,6","216","180","469","0,0","0,0","10143","0","0","0","0:00","9,0","0:00","Non","00:04.22","27","17,0","35","14","50","02:20:16","02:23:27","35","357"
Cyclisme sur route,2023-03-18 07:24:25,false,"Marseille Cyclisme sur route","139,35","3.128","04:41:21","148","175","5,0","29,7","63,6","1.880","1.883","0,00","0,0","0,0","0","89","134","197","53% G / 47% D","361,3","236","188","699","0,0","0,0","22487","0","0","0","0:00","10,0","0:00","Non","04:41:21.32","1","24,0","35","17","50","04:41:10","04:55:02","42","750"
Cyclisme sur route,2023-03-17 07:50:24,false,"Marseille - Seuil 3x10","38,91","1.070","01:31:10","150","177","4,8","25,6","61,9","814","818","0,00","0,0","0,0","0","81","123","217","53% G / 47% D","151,0","206","201","589","0,0","0,0","6613","0","0","0","0:00","12,0","0:00","Non","06:00.85","8","18,0","35","19","50","01:30:40","01:31:10","94","376"
