"DateTime";"Fatigue court terme Coggan";"Condition physique Coggan";"Forme Coggan";"Charge Coggan"
"2022-01-10 00:00:00";14,001731117120322;3;0;98,19038151978003
"2022-01-11 00:00:00";12,005139134849667;3;-11;
"2022-01-12 00:00:00";33,75091601314798;7;-9;164,504259379013
"2022-01-13 00:00:00";28,93816766492797;6;-27;
"2022-01-14 00:00:00";24,811698369231195;6;-23;
"2022-01-15 00:00:00";48,38710729039516;11;-19;190,1416904865441
"2022-01-16 00:00:00";41,48729542762157;10;-38;
"2022-01-17 00:00:00";48,06871147500041;12;-31;87,64155162196882
"2022-01-18 00:00:00";41,21430160765783;12;-36;
"2022-01-19 00:00:00";61,55561726029165;16;-29;183,8641944579441
"2022-01-20 00:00:00";52,77802748531416;16;-46;
"2022-01-21 00:00:00";58,55011089772624;17;-37;93,25658326628623
"2022-01-22 00:00:00";81,427864158368;22;-41;218,98757261438124
"2022-01-23 00:00:00";69,81656985824874;22;-59;
"2022-01-24 00:00:00";86,29160126205198;26;-48;185,3529247622804
"2022-01-25 00:00:00";73,98675711271345;25;-61;
"2022-01-26 00:00:00";81,03983881781153;27;-49;123,44871752264798
"2022-01-27 00:00:00";69,48387541052206;27;-54;
"2022-01-28 00:00:00";72,37156009551263;28;-43;89,73467520802588
"2022-01-29 00:00:00";62,05165926164793;28;-44;
"2022-01-30 00:00:00";90,67505016752588;33;-35;262,7822174744182
"2022-01-31 00:00:00";92,59348625897381;35;-58;104,12868844532994
"2022-02-01 00:00:00";79,39001800717261;34;-58;
"2022-02-02 00:00:00";94,26403147921312;38;-45;183,69872961037524
"2022-02-03 00:00:00";80,82235002614053;37;-57;
"2022-02-04 00:00:00";92,23767531543177;40;-44;160,8759196760325
"2022-02-05 00:00:00";109,61443060510933;44;-53;214,09765342541172
"2022-02-06 00:00:00";93,98384239736096;43;-66;
"2022-02-07 00:00:00";80,58211480925452;42;-51;
"2022-02-08 00:00:00";69,09142105169146;41;-39;
"2022-02-09 00:00:00";63,340080814895444;40;-28;28,758333333333333
"2022-02-10 00:00:00";54,308033530630425;39;-23;
"2022-02-11 00:00:00";70,18282880638303;42;-15;165,63504323725795
"2022-02-12 00:00:00";60,17503247635912;41;-28;
