Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de coups de pédale,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de tours,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Vélo d'intérieur,2023-10-19 07:00:13,false,"Vélo d'intérieur","0,00","496","00:44:52","150","177","4,4","--","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","19:48.52","2","0,0","--","--","--","00:00:00","00:44:52","--","--"
Cyclisme sur route,2023-10-14 14:27:41,false,"Marseille Cyclisme sur route","88,82","2.202","03:18:37","149","176","5,0","26,8","61,3","1.416","1.413","0,00","0,0","0,0","0","87","135","192","54% G / 46% D","183,8","226","183","466","0,0","0,0","15820","0","0","0","0:00","23,0","0:00","Non","03:18:36.50","1","29,0","35","20","49","03:18:33","03:19:43","12","442"
Cyclisme sur route,2023-10-13 10:50:02,false,"Marseille - Base","16,16","373","00:40:53","0","0","0,5","23,7","46,9","171","177","0,00","0,0","0,0","0","83","127","167","54% G / 46% D","28,3","126","176","689","0,0","0,0","2654","0","0","0","0:00","24,0","0:00","Non","08:33.70","2","27,0","--","--","--","00:40:20","03:13:20","32","88"
Cyclisme sur route,2023-10-09 11:14:50,false,"Marseille Cyclisme sur route","34,15","833","01:28:18","124","154","3,2","23,2","58,2","610","606","0,00","0,0","0,0","0","83","121","158","55% G / 45% D","55,2","167","150","465","0,0","0,0","6818","0","0","0","0:00","21,0","0:00","Non","01:28:18.31","1","30,0","30","14","42","01:28:15","01:30:15","50","327"
Cyclisme sur route,2023-10-08 15:05:00,false,"Marseille Cyclisme sur route","16,71","512","01:16:48","115","164","2,6","13,1","36,0","422","403","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","24,0","0:00","Non","01:16:48.09","1","32,0","25","14","37","01:15:20","01:27:43","51","321"
Cyclisme sur route,2023-10-07 07:15:29,false,"Marseille Cyclisme sur route","120,98","2.562","04:07:28","143","180","5,0","29,3","72,0","1.678","1.678","0,00","0,0","0,0","0","83","124","200","52% G / 48% D","246,4","247","186","704","0,0","0,0","17440","0","0","0","0:00","12,0","0:00","Non","04:07:28.14","1","26,0","32","12","47","04:07:12","04:26:08","7","443"
Cyclisme sur route,2023-10-06 11:28:19,false,"Marseille - Test SEUIL","54,60","1.426","02:06:07","150","179","5,0","26,0","60,7","1.027","1.026","0,00","0,0","0,0","0","84","118","203","54% G / 46% D","129,3","260","188","493","0,0","0,0","9644","0","0","0","0:00","23,0","0:00","Non","19:21.40","3","31,0","35","16","49","02:04:25","02:06:07","36","350"
Cyclisme sur route,2023-10-02 07:30:45,false,"Marseille Cyclisme sur route","43,76","1.067","01:44:53","131","163","3,8","25,0","56,9","763","758","0,00","0,0","0,0","0","77","136","178","53% G / 47% D","83,0","191","164","451","0,0","0,0","7570","0","0","0","0:00","12,0","0:00","Non","01:44:52.65","1","22,0","31","17","42","01:44:49","01:45:23","49","328"
Cyclisme sur route,2023-10-01 07:17:01,false,"Marseille Cyclisme sur route","114,14","2.550","04:08:21","141","177","5,0","27,6","63,8","1.533","1.530","0,00","0,0","0,0","0","82","123","199","53% G / 47% D","245,6","231","184","676","0,0","0,0","17288","0","0","0","0:00","13,0","0:00","Non","04:08:21.40","1","30,0","32","15","46","04:08:01","04:34:39","42","533"
Cyclisme sur route,2023-09-29 11:03:38,false,"Marseille - Seuil/fsm prog 3x8","38,06","951","01:30:59","145","177","4,4","25,1","55,6","712","707","0,00","0,0","0,0","0","76","118","205","53% G / 47% D","95,6","217","182","739","0,0","0,0","5997","0","0","0","0:00","25,0","0:00","Non","04:00.00","11","32,0","34","18","46","01:30:11","01:31:01","50","326"
Vélo d'intérieur,2023-09-26 07:20:32,false,"Malakoff - Seuil prog 3x6-1","1,08","401","00:39:48","141","175","3,5","1,6","9,8","194","199","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:01.82","11","0,0","--","--","--","00:06:00","00:39:48","31","95"
Cyclisme sur route,2023-09-23 07:38:02,false,"Saint-Ferréol-d'Auroure Cyclisme sur route","113,15","3.006","04:29:24","152","173","5,0","25,2","61,3","2.112","2.127","0,00","0,0","0,0","0","83","122","196","53% G / 47% D","258,3","215","190","415","0,0","0,0","19870","0","0","0","0:00","4,0","0:00","Non","04:29:23.60","1","16,0","35","18","43","04:29:00","04:36:49","526","1.386"
Cyclisme sur route,2023-09-18 07:39:45,false,"Marseille - Seuil/fsm prog 3x8","34,27","883","01:27:46","134","172","3,7","23,4","61,1","681","674","0,00","0,0","0,0","0","77","127","201","52% G / 48% D","88,1","200","182","688","0,0","0,0","5676","0","0","0","0:00","23,0","0:00","Non","04:00.00","11","28,0","31","18","45","01:27:42","01:27:48","49","326"
Cyclisme sur route,2023-09-17 07:13:25,false,"Marseille Cyclisme sur route","126,14","2.757","04:23:18","141","175","5,0","28,7","66,4","1.278","1.281","0,00","0,0","0,0","0","84","138","194","53% G / 47% D","248,3","202","181","641","0,0","0,0","19530","0","0","0","0:00","21,0","0:00","Non","04:23:17.67","1","35,0","32","13","45","04:22:44","04:53:15","15","428"
Cyclisme sur route,2023-09-15 07:35:31,false,"Marseille Cyclisme sur route","56,31","1.563","02:20:53","144","175","4,8","24,0","62,4","1.301","1.297","0,00","0,0","0,0","0","79","117","203","52% G / 48% D","145,2","227","189","435","0,0","0,0","9905","0","0","0","0:00","18,0","0:00","Non","02:20:53.05","1","26,0","34","15","48","02:20:48","02:21:30","36","364"
Vélo d'intérieur,2023-09-14 07:01:00,false,"FSM 6X4 min HT","28,00","555","00:58:10","140","177","3,3","28,9","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:03.82","20","0,0","--","--","--","00:00:00","00:58:10","--","--"
Vélo d'intérieur,2023-09-13 07:03:00,false,"Seuil prog 3x8-1","28,00","607","00:56:17","149","179","4,3","29,8","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:01.54","10","0,0","--","--","--","00:00:00","00:56:21","--","--"
Cyclisme sur route,2023-09-11 07:40:42,false,"Marseille - 3XGineste","36,15","932","01:23:24","146","175","4,4","26,0","54,1","681","680","0,00","0,0","0,0","0","83","117","222","51% G / 49% D","102,8","215","209","468","0,0","0,0","5664","0","0","0","0:00","15,0","0:00","Non","00:03.13","11","25,0","34","19","46","01:23:20","01:23:37","52","326"
Cyclisme sur route,2023-09-10 16:17:10,false,"Marseille Cyclisme sur route","59,30","1.483","02:19:50","139","159","4,5","25,4","61,5","1.090","1.085","0,00","0,0","0,0","0","84","122","184","53% G / 47% D","118,1","210","178","466","0,0","0,0","10471","0","0","0","0:00","27,0","0:00","Non","02:19:50.44","1","36,0","33","18","43","02:19:44","02:20:28","44","356"
Cyclisme,2023-09-07 10:37:48,false,"Lichada - Seuil 3x10 HT","31,50","692","01:02:22","155","194","5,0","30,3","9,6","20","20","0,00","0,0","0,0","0","--","--","--","--","0,0","--","176","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","05:21.96","7","0,0","--","--","--","00:17:33","01:02:23","2","10"
