Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Cyclisme sur route,2023-03-20 07:42:24,false,"Marseille - FSM 8X3min","58,98","1.546","02:23:14","138","169","4,9","24,7","55,9","1.114","1.099","0,00","0,0","0,0","0","79","132","191","52% G / 48% D","130,6","216","180","469","0,0","0,0","10143","0","0","0","0:00","9,0","0:00","Non","00:04.21.6","27","17,0","35","14","50","02:20:16","02:23:27","35","357"
Cyclisme sur route,2023-03-18 07:24:25,false,"Marseille Cyclisme sur route","139,35","3.128","04:41:21","148","175","5,0","29,7","63,6","1.880","1.883","0,00","0,0","0,0","0","89","134","197","53% G / 47% D","361,3","236","188","699","0,0","0,0","22487","0","0","0","0:00","10,0","0:00","Non","04:41:21.31.6","1","24,0","35","17","50","04:41:10","04:55:02","42","750"
Cyclisme sur route,2023-03-17 07:50:24,false,"Marseille - Seuil 3x10","38,91","1.070","01:31:10","150","177","4,8","25,6","61,9","814","818","0,00","0,0","0,0","0","81","123","217","53% G / 47% D","151,0","206","201","589","0,0","0,0","6613","0","0","0","0:00","12,0","0:00","Non","06:00.84.8","8","18,0","35","19","50","01:30:40","01:31:10","94","376"
Cyclisme sur route,2023-03-15 07:29:56,false,"Marseille Cyclisme sur route","65,55","1.812","02:41:23","145","178","5,0","24,4","62,4","1.277","1.293","0,00","0,0","0,0","0","81","123","200","52% G / 48% D","220,7","233","187","598","0,0","0,0","11828","0","0","0","0:00","7,0","0:00","Non","05:00.28.5","3","15,0","34","18","46","02:41:09","02:47:33","38","411"
Cyclisme sur route,2023-03-14 11:15:16,false,"Marseille - Seuil 3x10","27,06","722","01:05:13","142","173","4,1","24,9","62,7","532","535","0,00","0,0","0,0","0","85","127","213","53% G / 47% D","100,7","203","190","637","0,0","0,0","4900","0","0","0","0:00","15,0","0:00","Non","03:47.21.8","7","21,0","34","20","47","01:04:32","01:06:08","51","259"
Vélo d'intérieur,2023-03-13 17:58:30,false,"Vélo d'intérieur","0,00","501","00:57:51","121","147","2,4","--","--","--","--","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","22,0","0:00","Non","57:51.09.2","1","23,0","29","13","36","00:00:00","00:57:51","--","--"
Cyclisme sur route,2023-03-11 15:51:44,false,"Marseille Cyclisme sur route","58,53","1.490","02:05:39","146","170","5,0","28,0","65,9","771","780","0,00","0,0","0,0","0","88","123","203","54% G / 46% D","180,3","221","196","596","0,0","0,0","10275","0","0","0","0:00","15,0","0:00","Non","02:05:38.81.1","1","21,0","36","21","48","02:05:36","02:10:03","45","362"
Cyclisme sur route,2023-03-10 15:57:10,false,"Marseille - Seuil 3x6","28,16","741","01:05:49","147","178","4,3","25,7","62,6","566","574","0,00","0,0","0,0","0","79","129","220","52% G / 48% D","106,0","214","197","507","0,0","0,0","4603","0","0","0","0:00","16,0","0:00","Non","04:29.86.5","8","21,0","36","21","58","01:05:18","01:05:49","47","266"
Vélo d'intérieur,2023-03-08 07:44:00,false,"Malakoff - Seuil 3x8 HT","30,60","633","01:02:00","140","179","4,3","29,6","11,0","418","418","0,00","0,0","0,0","0","--","--","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","05:00.00","8","0,0","--","--","--","00:12:48","01:02:00","18","116"
Cyclisme sur route,2023-03-06 10:37:46,false,"Marseille - FSM 8X3min","66,67","1.870","02:52:43","136","167","5,0","23,2","64,6","1.472","1.480","0,00","0,0","0,0","0","78","131","191","52% G / 48% D","219,4","231","182","492","0,0","0,0","12082","0","0","0","0:00","12,0","0:00","Non","01:00.00","26","20,0","33","16","46","02:50:41","02:53:32","37","378"
